ToyId,ElfId,StartTime,Duration
62,1,2014 1 1 9 0,29
87,2,2014 1 1 9 0,13
50,3,2014 1 1 9 0,74
86,2,2014 1 1 9 13,8
85,2,2014 1 1 9 21,7
84,2,2014 1 1 9 28,6
61,1,2014 1 1 9 29,20
83,2,2014 1 1 9 34,4
82,2,2014 1 1 9 38,3
100,2,2014 1 1 9 41,7
99,2,2014 1 1 9 48,5
60,1,2014 1 1 9 49,20
98,2,2014 1 1 9 53,5
97,2,2014 1 1 9 58,4
96,2,2014 1 1 10 2,3
95,2,2014 1 1 10 5,3
94,2,2014 1 1 10 8,55
59,1,2014 1 1 10 9,12
48,3,2014 1 1 10 14,46
58,1,2014 1 1 10 21,11
57,1,2014 1 1 10 32,9
56,1,2014 1 1 10 41,6
55,1,2014 1 1 10 47,6
54,1,2014 1 1 10 53,3
53,1,2014 1 1 10 56,2
52,1,2014 1 1 10 58,2
51,1,2014 1 1 11 0,104
47,3,2014 1 1 11 0,22
93,2,2014 1 1 11 3,43
12,3,2014 1 1 11 22,3
11,3,2014 1 1 11 25,2
10,3,2014 1 1 11 27,56
92,2,2014 1 1 11 46,26
91,2,2014 1 1 12 12,24
9,3,2014 1 1 12 23,49
90,2,2014 1 1 12 36,22
68,1,2014 1 1 12 44,6
67,1,2014 1 1 12 50,6
66,1,2014 1 1 12 56,5
89,2,2014 1 1 12 58,16
65,1,2014 1 1 13 1,2
64,1,2014 1 1 13 3,115
8,3,2014 1 1 13 12,39
88,2,2014 1 1 13 14,16
37,2,2014 1 1 13 30,3
36,2,2014 1 1 13 33,3
35,2,2014 1 1 13 36,1
34,2,2014 1 1 13 37,108
7,3,2014 1 1 13 51,16
6,3,2014 1 1 14 7,11
5,3,2014 1 1 14 18,6
4,3,2014 1 1 14 24,6
3,3,2014 1 1 14 30,5
2,3,2014 1 1 14 35,5
1,3,2014 1 1 14 40,5
18,3,2014 1 1 14 45,12
17,3,2014 1 1 14 57,6
63,1,2014 1 1 14 58,35
16,3,2014 1 1 15 3,5
15,3,2014 1 1 15 8,5
14,3,2014 1 1 15 13,4
13,3,2014 1 1 15 17,3
21,3,2014 1 1 15 20,16
33,2,2014 1 1 15 25,57
73,1,2014 1 1 15 33,22
20,3,2014 1 1 15 36,14
19,3,2014 1 1 15 50,12
72,1,2014 1 1 15 55,14
25,3,2014 1 1 16 2,96
75,1,2014 1 1 16 9,33
32,2,2014 1 1 16 22,10
31,2,2014 1 1 16 32,9
30,2,2014 1 1 16 41,8
74,1,2014 1 1 16 42,25
29,2,2014 1 1 16 49,7
28,2,2014 1 1 16 56,6
27,2,2014 1 1 17 2,5
71,1,2014 1 1 17 7,8
26,2,2014 1 1 17 7,1
43,2,2014 1 1 17 8,8
70,1,2014 1 1 17 15,7
42,2,2014 1 1 17 16,7
69,1,2014 1 1 17 22,6
41,2,2014 1 1 17 23,6
81,1,2014 1 1 17 28,23
40,2,2014 1 1 17 29,6
39,2,2014 1 1 17 35,5
24,3,2014 1 1 17 38,60
38,2,2014 1 1 17 40,3
46,2,2014 1 1 17 43,17
80,1,2014 1 1 17 51,16
45,2,2014 1 1 18 0,11
79,1,2014 1 1 18 7,12
44,2,2014 1 1 18 11,9
78,1,2014 1 1 18 19,7
49,2,2014 1 1 18 20,45
77,1,2014 1 1 18 26,3
76,1,2014 1 1 18 29,32
22,3,2014 1 1 18 38,17
23,3,2014 1 1 18 55,42
